"","Age","pop"
"1",0,28670
"2",1,25576
"3",2,26138
"4",3,25397
"5",4,24727
"6",5,23841
"7",6,23188
"8",7,23364
"9",8,23609
"10",9,22522
"11",10,23544
"12",11,22251
"13",12,24375
"14",13,25513
"15",14,26575
"16",15,27568
"17",16,28078
"18",17,30433
"19",18,34524
"20",19,30660
"21",20,31433
"22",21,27423
"23",22,27751
"24",23,27388
"25",24,27205
"26",25,27186
"27",26,24423
"28",27,23411
"29",28,23198
"30",29,19175
"31",30,21465
"32",31,16281
"33",32,17933
"34",33,16635
"35",34,16673
"36",35,17577
"37",36,16094
"38",37,16287
"39",38,17073
"40",39,15717
"41",40,17615
"42",41,13449
"43",42,14336
"44",43,13129
"45",44,12498
"46",45,14250
"47",46,11791
"48",47,10959
"49",48,11423
"50",49,10468
"51",50,11783
"52",51,8982
"53",52,9299
"54",53,8828
"55",54,8547
"56",55,8316
"57",56,7535
"58",57,7478
"59",58,7085
"60",59,6658
"61",60,7314
"62",61,5853
"63",62,5748
"64",63,5269
"65",64,4944
"66",65,4807
"67",66,4090
"68",67,3657
"69",68,3366
"70",69,2527
"71",70,2979
"72",71,2146
"73",72,1758
"74",73,1473
"75",74,1258
"76",75,1322
"77",76,1095
"78",77,1122
"79",78,1132
"80",79,864
"81",80,960
"82",81,786
"83",82,705
"84",83,582
"85",84,489
"86",85,477
"87",86,356
"88",87,272
"89",88,224
"90",89,202
"91",90,161
"92",91,98
"93",92,80
"94",93,65
"95",94,48
"96",95,208
