age_lower,pop,age_upper,prop_pop
0,24292.58321593702,0,0.022148887723439238
1,102304.56094139814,9,0.09327670975724896
5,115143.49161803722,NA,0.10498267085319946
10,114978.43978452682,14,0.10483218399486603
15,120357.01370948553,19,0.10973612644171023
20,114805.42058169842,24,0.10467443284656776
25,99205.86003988981,29,0.0904514532686347
30,89357.15513002872,34,0.08147184589914384
35,69918.39550882578,39,0.06374845680932113
40,62899.50197508931,44,0.057348944520339305
45,50759.04646760225,49,0.04627982175325821
50,37655.04449675977,54,0.03433218054112451
55,31423.658773213625,59,0.028650682549518594
60,23774.491923600435,64,0.021676515322264285
65,17113.36108826846,69,0.015603195014108819
70,10011.992692139,74,0.009128485845037674
75,8131.069037724286,79,0.007413544026472185
80,4654.608047729358,NA,0.0042438628337450645
